mm, ms
228, 13535
222, 13552
227, 13569
222, 13585
222, 13602
222, 13618
228, 13635
221, 13652
222, 13669
222, 13684
221, 13702
228, 13718
222, 13735
222, 13751
222, 13768
221, 13786
222, 13801
227, 13819
228, 13835
221, 13852
222, 13868
228, 13885
228, 13902
228, 13919
222, 13935
222, 13952
228, 13969
228, 13985
222, 14002
221, 14019
221, 14035
222, 14052
221, 14069
222, 14084
222, 14102
222, 14119
221, 14135
222, 14151
222, 14169
222, 14184
222, 14202
222, 14219
222, 14236
222, 14251
222, 14268
222, 14285
222, 14302
222, 14318
222, 14335
222, 14352
228, 14369
222, 14385
221, 14402
222, 14418
222, 14434
222, 14452
222, 14469
228, 14485
222, 14501
221, 14518
228, 14535
227, 14551
222, 14568
228, 14584
221, 14602
227, 14618
222, 14634
222, 14652
227, 14668
222, 14685
221, 14702
222, 14718
222, 14736
221, 14751
